,support,itemsets
110,0.015614392396469789,"frozenset({'PRIVATE INSTITUTION OF HIGHER EDUCATION', 'Department of Health and Human Services', 'DEKALB'})"
111,0.016293279022403257,"frozenset({'DEKALB', 'Social Security Administration', 'INDIVIDUAL'})"
112,0.012219959266802444,"frozenset({'FULTON', 'Department of Agriculture', 'STATE GOVERNMENT'})"
113,0.013577732518669382,"frozenset({'FULTON', 'Department of Education', 'STATE GOVERNMENT'})"
114,0.011541072640868975,"frozenset({'OTHER', 'Department of Health and Human Services', 'FULTON'})"
115,0.0373387644263408,"frozenset({'Department of Health and Human Services', 'FULTON', 'STATE GOVERNMENT'})"
116,0.010862186014935505,"frozenset({'FULTON', 'Department of Homeland Security', 'STATE GOVERNMENT'})"
117,0.03326544467073999,"frozenset({'FULTON', 'Department of Transportation', 'STATE GOVERNMENT'})"
118,0.028513238289205704,"frozenset({'FULTON', 'Social Security Administration', 'INDIVIDUAL'})"
119,0.021045485403937542,"frozenset({'GWINNETT', 'Social Security Administration', 'INDIVIDUAL'})"
120,0.012898845892735914,"frozenset({'HALL', 'Social Security Administration', 'INDIVIDUAL'})"
121,0.016293279022403257,"frozenset({'INDIVIDUAL', 'Social Security Administration', 'HENRY'})"
