,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
21,frozenset({'HENRY'}),frozenset({'Social Security Administration'}),0.02240325865580448,0.36591989137813985,0.016293279022403257,0.7272727272727273,1.9875189745319617,1.0,0.00809548104855491,2.324960398280154,0.5082465277777778,0.04379562043795619,0.5698851469729415,0.38589981447124305
22,frozenset({'LOWNDES'}),frozenset({'INDIVIDUAL'}),0.014256619144602852,0.4453496266123557,0.010183299389002037,0.7142857142857143,1.603876306620209,1.0,0.0038341193761985944,1.941276306856755,0.3819559228650138,0.022658610271903325,0.4848749781430321,0.3685757839721254
23,frozenset({'Social Security Administration'}),frozenset({'INDIVIDUAL'}),0.36591989137813985,0.4453496266123557,0.36591989137813985,1.0,2.245426829268293,1.0,0.20295760438285151,inf,0.8747323340471093,0.8216463414634145,1.0,0.9108231707317074
24,frozenset({'INDIVIDUAL'}),frozenset({'Social Security Administration'}),0.4453496266123557,0.36591989137813985,0.36591989137813985,0.8216463414634146,2.245426829268293,1.0,0.20295760438285151,3.5551841987687203,1.0000000000000002,0.8216463414634145,0.7187206220295608,0.9108231707317074
25,"frozenset({'Social Security Administration', 'CLAYTON'})",frozenset({'INDIVIDUAL'}),0.012898845892735914,0.4453496266123557,0.012898845892735914,1.0,2.245426829268293,1.0,0.007154349690675656,inf,0.5618982118294361,0.028963414634146343,1.0,0.5144817073170732
26,"frozenset({'INDIVIDUAL', 'CLAYTON'})",frozenset({'Social Security Administration'}),0.01493550577053632,0.36591989137813985,0.012898845892735914,0.8636363636363636,2.360178782256704,1.0,0.007433647243503682,4.649920796560308,0.5850411694294316,0.03505535055350554,0.7849425734864707,0.449443413729128
27,frozenset({'CLAYTON'}),"frozenset({'Social Security Administration', 'INDIVIDUAL'})",0.015614392396469789,0.36591989137813985,0.012898845892735914,0.8260869565217392,2.257562313462935,1.0,0.007185229123084036,3.6459606245756984,0.565880217785844,0.03499079189686925,0.7257238618378179,0.43066871017181585
28,"frozenset({'COBB', 'CORPORATE NOT TAX EXEMPT'})",frozenset({'Department of Defense'}),0.051595383570943655,0.18058384249830278,0.048879837067209775,0.9473684210526315,5.246141669964384,1.0,0.03956254444679497,15.56890699253223,0.853416050266444,0.26666666666666666,0.9357694152531287,0.6090225563909775
29,"frozenset({'COBB', 'Department of Defense'})",frozenset({'CORPORATE NOT TAX EXEMPT'}),0.05091649694501019,0.17922606924643583,0.048879837067209775,0.96,5.356363636363636,1.0,0.03975427345995744,20.519348268839085,0.8569384835479257,0.2696629213483146,0.9512655086848635,0.6163636363636363
30,"frozenset({'COBB', 'Social Security Administration'})",frozenset({'INDIVIDUAL'}),0.027834351663272233,0.4453496266123557,0.027834351663272233,1.0,2.245426829268293,1.0,0.015438333543036942,inf,0.5705307262569833,0.0625,1.0,0.53125
