,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
221,frozenset({'GEORGIA ENVIRONMENTAL FINANCE AUTHORITY'}),frozenset({'Department of Energy'}),0.008825526137135099,0.008146639511201629,0.0027155465037338763,0.30769230769230765,37.76923076923077,1.0,0.0026436481237979486,1.4326770762615977,0.9821917808219177,0.19047619047619047,0.302006002211341,0.3205128205128205
222,frozenset({'GEORGIA POWER COMPANY'}),frozenset({'Department of Energy'}),0.0033944331296673455,0.008146639511201629,0.0006788866259334691,0.19999999999999998,24.55,1.0,0.0006512334028811893,1.239816700610998,0.9625340599455042,0.0625,0.19342915811088296,0.14166666666666666
223,frozenset({'Department of Energy'}),frozenset({'GEORGIA TECH RESEARCH CORP'}),0.008146639511201629,0.006109979633401222,0.0013577732518669382,0.16666666666666669,27.277777777777782,1.0,0.0013079974503728345,1.1926680244399186,0.9712525667351128,0.10526315789473685,0.16154371584699456,0.19444444444444445
224,frozenset({'GEORGIA TECH RESEARCH CORP'}),frozenset({'Department of Energy'}),0.006109979633401222,0.008146639511201629,0.0013577732518669382,0.2222222222222222,27.27777777777778,1.0,0.0013079974503728345,1.2752400349141693,0.9692622950819673,0.10526315789473685,0.21583390371891398,0.19444444444444445
225,frozenset({'GEORGIA TRANSMISSION CORPORATION (AN ELECTRIC MEMBERSHIP CORPORATION)'}),frozenset({'Department of Energy'}),0.0006788866259334691,0.008146639511201629,0.0006788866259334691,1.0,122.75000000000001,1.0,0.0006733559813230131,inf,0.9925271739130435,0.08333333333333334,1.0,0.5416666666666666
226,frozenset({'SOUTHERN STATES ENERGY BOARD'}),frozenset({'Department of Energy'}),0.0006788866259334691,0.008146639511201629,0.0006788866259334691,1.0,122.75000000000001,1.0,0.0006733559813230131,inf,0.9925271739130435,0.08333333333333334,1.0,0.5416666666666666
227,"frozenset({'SYENSQO SPECIALTY POLYMERS USA, LLC'})",frozenset({'Department of Energy'}),0.0006788866259334691,0.008146639511201629,0.0006788866259334691,1.0,122.75000000000001,1.0,0.0006733559813230131,inf,0.9925271739130435,0.08333333333333334,1.0,0.5416666666666666
228,"frozenset({'EAGLE HEALTH ANALYTICS, LLC'})",frozenset({'Department of Health and Human Services'}),0.0006788866259334691,0.16836388323150034,0.0006788866259334691,1.0,5.939516129032258,1.0,0.0005645866373173793,inf,0.8322010869565217,0.004032258064516129,1.0,0.5020161290322581
229,frozenset({'EARLY CHILDHOOD DEVELOPMENT CO LLC'}),frozenset({'Department of Health and Human Services'}),0.0006788866259334691,0.16836388323150034,0.0006788866259334691,1.0,5.939516129032258,1.0,0.0005645866373173793,inf,0.8322010869565217,0.004032258064516129,1.0,0.5020161290322581
230,frozenset({'EAST GA HEALTHCARE CENTER'}),frozenset({'Department of Health and Human Services'}),0.0006788866259334691,0.16836388323150034,0.0006788866259334691,1.0,5.939516129032258,1.0,0.0005645866373173793,inf,0.8322010869565217,0.004032258064516129,1.0,0.5020161290322581
231,"frozenset({'EASTER SEALS NORTH GEORGIA, INC.'})",frozenset({'Department of Health and Human Services'}),0.002036659877800407,0.16836388323150034,0.002036659877800407,1.0,5.939516129032258,1.0,0.0016937599119521377,inf,0.8333333333333334,0.012096774193548387,1.0,0.5060483870967742
