,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
377,frozenset({'BLOCK GRANT (A)'}),"frozenset({'Department of Health and Human Services', 'FULTON'})",0.02308214528173795,0.05974202308214528,0.02308214528173795,1.0,16.738636363636363,1.0,0.02170317122553093,inf,0.9624739402362751,0.38636363636363635,1.0,0.6931818181818181
378,"frozenset({'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)', 'CHATHAM'})",frozenset({'MULTIPLE RECIPIENTS'}),0.014256619144602852,0.45824847250509165,0.014256619144602852,1.0,2.1822222222222223,1.0,0.007723545198501749,inf,0.5495867768595041,0.031111111111111114,1.0,0.5155555555555555
379,"frozenset({'MULTIPLE RECIPIENTS', 'CHATHAM'})","frozenset({'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)'})",0.014256619144602852,0.4453496266123557,0.014256619144602852,1.0,2.245426829268293,1.0,0.00790743913179941,inf,0.56267217630854,0.03201219512195122,1.0,0.5160060975609756
380,"frozenset({'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)', 'CHEROKEE'})",frozenset({'MULTIPLE RECIPIENTS'}),0.010862186014935505,0.45824847250509165,0.010862186014935505,1.0,2.1822222222222223,1.0,0.005884605865525141,inf,0.547700754975978,0.023703703703703703,1.0,0.5118518518518519
381,"frozenset({'MULTIPLE RECIPIENTS', 'CHEROKEE'})","frozenset({'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)'})",0.010862186014935505,0.4453496266123557,0.010862186014935505,1.0,2.245426829268293,1.0,0.006024715528990026,inf,0.5607412491420728,0.024390243902439025,1.0,0.5121951219512195
382,frozenset({'CHEROKEE'}),"frozenset({'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)', 'MULTIPLE RECIPIENTS'})",0.012219959266802444,0.4453496266123557,0.010862186014935505,0.8888888888888888,1.9959349593495934,1.0,0.005420031718246841,4.991853360488796,0.5051546391752577,0.024316109422492398,0.7996736026111791,0.45663956639566394
383,"frozenset({'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)', 'CLAYTON'})",frozenset({'MULTIPLE RECIPIENTS'}),0.01493550577053632,0.45824847250509165,0.01493550577053632,1.0,2.1822222222222223,1.0,0.00809133306509707,inf,0.5499655410062027,0.03259259259259259,1.0,0.5162962962962963
384,"frozenset({'CLAYTON', 'MULTIPLE RECIPIENTS'})","frozenset({'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)'})",0.01493550577053632,0.4453496266123557,0.01493550577053632,1.0,2.245426829268293,1.0,0.008283983852361286,inf,0.5630599586492074,0.03353658536585366,1.0,0.5167682926829268
385,frozenset({'CLAYTON'}),"frozenset({'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)', 'MULTIPLE RECIPIENTS'})",0.015614392396469789,0.4453496266123557,0.01493550577053632,0.9565217391304348,2.1477995758218453,1.0,0.007981641946989693,12.756958587915825,0.542884012539185,0.03348554033485541,0.921611409717418,0.49502916224814425
386,"frozenset({'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)', 'CLAYTON'})",frozenset({'Social Security Administration'}),0.01493550577053632,0.36591989137813985,0.012898845892735914,0.8636363636363636,2.360178782256704,1.0,0.007433647243503682,4.649920796560308,0.5850411694294316,0.03505535055350554,0.7849425734864707,0.449443413729128
387,"frozenset({'Social Security Administration', 'CLAYTON'})","frozenset({'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)'})",0.012898845892735914,0.4453496266123557,0.012898845892735914,1.0,2.245426829268293,1.0,0.007154349690675656,inf,0.5618982118294361,0.028963414634146343,1.0,0.5144817073170732
388,frozenset({'CLAYTON'}),"frozenset({'DIRECT PAYMENT WITH UNRESTRICTED USE (RETIREMENT, PENSION, VETERANS BENEFITS, ETC.) (D)', 'Social Security Administration'})",0.015614392396469789,0.36591989137813985,0.012898845892735914,0.8260869565217392,2.257562313462935,1.0,0.007185229123084036,3.6459606245756984,0.565880217785844,0.03499079189686925,0.7257238618378179,0.43066871017181585
389,"frozenset({'CLAYTON', 'MULTIPLE RECIPIENTS'})",frozenset({'Social Security Administration'}),0.01493550577053632,0.36591989137813985,0.012898845892735914,0.8636363636363636,2.360178782256704,1.0,0.007433647243503682,4.649920796560308,0.5850411694294316,0.03505535055350554,0.7849425734864707,0.449443413729128
390,"frozenset({'CLAYTON', 'Social Security Administration'})",frozenset({'MULTIPLE RECIPIENTS'}),0.012898845892735914,0.45824847250509165,0.012898845892735914,1.0,2.1822222222222223,1.0,0.006987969465311106,inf,0.5488308115543329,0.028148148148148148,1.0,0.5140740740740741
391,frozenset({'CLAYTON'}),"frozenset({'Social Security Administration', 'MULTIPLE RECIPIENTS'})",0.015614392396469789,0.36591989137813985,0.012898845892735914,0.8260869565217392,2.257562313462935,1.0,0.007185229123084036,3.6459606245756984,0.565880217785844,0.03499079189686925,0.7257238618378179,0.43066871017181585
392,"frozenset({'COBB', 'Department of Defense'})",frozenset({'DELIVERY ORDER'}),0.05091649694501019,0.17379497623896809,0.04480651731160896,0.8799999999999999,5.0634375,1.0,0.03595748593487942,6.88504186467526,0.8455585901937833,0.24905660377358488,0.8547576006573541,0.56890625
393,"frozenset({'COBB', 'DELIVERY ORDER'})",frozenset({'Department of Defense'}),0.04480651731160896,0.18058384249830278,0.04480651731160896,1.0,5.537593984962406,1.0,0.03671518424651189,inf,0.8578535891968729,0.24812030075187969,1.0,0.6240601503759399
394,"frozenset({'COBB', 'LOCKHEED MARTIN CORP'})",frozenset({'DELIVERY ORDER'}),0.04548540393754243,0.17379497623896809,0.03937542430414121,0.8656716417910448,4.980993470149254,1.0,0.03147028960759616,6.150637399109907,0.8373228037474862,0.2188679245283019,0.8374152246164412,0.5461170708955224
395,"frozenset({'COBB', 'DELIVERY ORDER'})",frozenset({'LOCKHEED MARTIN CORP'}),0.04480651731160896,0.04548540393754243,0.03937542430414121,0.8787878787878789,19.3202170963365,1.0,0.03733738176518819,7.874745417515282,0.9927211234468055,0.7733333333333334,0.87301176774861,0.8722297602894619
396,"frozenset({'LOCKHEED MARTIN CORP', 'DELIVERY ORDER'})",frozenset({'COBB'}),0.03937542430414121,0.09097080787508487,0.03937542430414121,1.0,10.992537313432836,1.0,0.035793410144769236,inf,0.9462897526501767,0.4328358208955223,1.0,0.7164179104477613
